Course name	Unique ID	start date	end date	Location
AutoCAD – Essentials	609	20/10/08	22/10/08	Manchester
InDesign - Introduction	610	22/10/08	23/10/08	Glasgow
Illustrator - Advanced	611	22/10/08	23/10/08	London
Room Hire	612	22/10/08	22/10/08	Manchester
Flex  - Data and Communications	613	23/10/08	24/10/08	London
Dreamweaver - Web Development Introduction	614	27/10/08	29/10/08	Glasgow
Flash - Advanced Actionscript	615	27/10/08	29/10/08	London
Quark Xpress - Introduction	617	31/10/08	31/10/08	London
Room Hire	618	3/11/08	4/11/08	London
"Ajax - Fast Track to AJAX, Introduction"	620	5/11/08	7/11/08	London
Photoshop - Introduction	621	5/11/08	6/11/08	Manchester
AutoCAD – Essentials	622	10/11/08	12/11/08	Glasgow
3ds Max Jumpstart Zero to Hero	623	10/11/08	14/11/08	London
InDesign - Introduction	624	12/11/08	13/11/08	London
Dreamweaver - Web Development Introduction	625	12/11/08	14/11/08	Manchester
3ds Max Advanced	626	17/11/08	19/11/08	London
Flash - Rich Content Creation	627	24/11/08	25/11/08	Glasgow
InDesign - Introduction	628	24/11/08	25/11/08	London
Flash - Actionscript	630	26/11/08	28/11/08	Glasgow
Photoshop - Advanced	631	3/12/08	4/12/08	Manchester
Photoshop - Advanced	632	10/12/08	11/12/08	London
Room Hire	633	18/12/08	19/12/08	London
Custom Course	635	4/9/08	5/8/08	On-site
Flex 3 - MasterClass	638	8/9/08	12/9/08	On-site
Custom Course	639	20/10/08	22/10/08	On-site
Custom Course	640	4/12/08	5/12/08	On-site
Illustrator - Introduction	641	3/10/08	3/10/08	Leeds
InDesign - Introduction	642	1/10/08	2/10/08	Leeds
InDesign - Introduction	643	12/11/08	13/11/08	Leeds
InDesign - Introduction	644	10/12/08	11/12/08	Leeds
Photoshop - Introduction	645	1/9/08	2/9/08	Leeds
Photoshop - Introduction	646	29/9/08	30/9/08	Leeds
Photoshop - Introduction	647	10/11/08	11/11/08	Leeds
Photoshop - Introduction	648	8/12/08	9/12/08	Leeds
Dreamweaver - Web Development Introduction	649	22/9/08	24/9/08	Leeds
Dreamweaver - Web Development Introduction	650	20/10/08	22/10/08	Leeds
Dreamweaver - Web Development Introduction	651	24/11/08	26/11/08	Leeds
Dreamweaver - Web Development Introduction	652	15/12/08	17/12/08	Leeds
Flash - Rich Content Creation	653	25/9/08	26/9/08	Leeds
Flash - Rich Content Creation	654	23/10/08	24/10/08	Leeds
Flash - Rich Content Creation	655	27/11/08	28/11/08	Leeds
Flash - Rich Content Creation	656	18/12/08	19/12/08	Leeds
3ds Max - Essentials Masterclass	657	22/9/08	26/9/08	Leeds
3ds Max Jumpstart Zero to Hero	658	24/11/08	28/11/08	Leeds
AutoCAD - Level 2 - Intermediate	659	23/10/08	24/10/08	Leeds
AutoCAD - Level 2 - Intermediate	660	18/12/08	19/12/08	Leeds
AutoCAD – Essentials	661	20/10/08	22/10/08	Leeds
AutoCAD – Essentials	662	15/12/08	17/12/08	Leeds
Acrobat - Introduction	663	15/9/08	15/9/08	Cardiff
Photoshop - Advanced	664	29/9/08	30/9/08	Cardiff
Photoshop - Advanced	665	17/11/08	18/11/08	Cardiff
InDesign - Advanced	666	1/10/08	2/10/08	Cardiff
InDesign - Advanced	667	19/11/08	20/11/08	Cardiff
Illustrator - Advanced	668	3/10/08	3/10/08	Cardiff
Illustrator - Advanced	669	21/11/08	21/11/08	Cardiff
Photoshop - Introduction	670	24/9/08	25/9/08	Cardiff
Photoshop - Introduction	671	15/10/08	16/10/08	Cardiff
Photoshop - Introduction	672	12/11/08	13/11/08	Cardiff
Photoshop - Introduction	673	10/12/08	11/12/08	Cardiff
InDesign - Introduction	674	22/9/08	23/9/08	Cardiff
InDesign - Introduction	675	13/10/08	14/10/08	Cardiff
InDesign - Introduction	676	10/11/08	11/11/08	Cardiff
InDesign - Introduction	677	8/12/08	9/12/08	Cardiff
Illustrator - Introduction	678	17/10/08	17/10/08	Cardiff
Illustrator - Introduction	679	26/9/08	26/9/08	Cardiff
Acrobat - Introduction	680	11/8/08	11/8/08	Cardiff
Illustrator - Introduction	681	12/12/08	12/12/08	Cardiff
Flash - Rich Content Creation	682	20/10/08	21/10/08	Cardiff
Flash - Rich Content Creation	683	6/11/08	7/11/08	Cardiff
Flash - Actionscript	684	22/10/08	24/10/08	Cardiff
Final Cut Pro - Introduction	685	1/9/08	3/9/08	Glasgow
Acrobat - Introduction	686	1/9/08	1/9/08	Glasgow
Quark Xpress - Introduction	687	2/9/08	3/9/08	Glasgow
InDesign - Introduction	688	17/9/08	18/9/08	Glasgow
Illustrator - Advanced	689	19/9/08	19/9/08	Glasgow
3ds Max - Essentials Masterclass	690	6/10/08	10/10/08	Glasgow
Illustrator - Advanced	693	24/10/08	24/10/08	Glasgow
Flex - Developing Rich Client Applications Level 1	694	13/10/08	15/10/08	Glasgow
Flex  - Data and Communications	695	16/10/08	17/10/08	Glasgow
Flash - Rich Content Creation	696	30/10/08	31/10/08	Glasgow
Final Cut Pro 6 - Masterclass	697	17/11/08	21/11/08	Glasgow
AfterEffects - Introduction	698	6/11/08	7/11/08	Glasgow
Acrobat - Introduction	699	3/11/08	3/11/08	Glasgow
Quark Xpress - Introduction	700	4/11/08	5/11/08	Glasgow
AutoCAD - Level 2 - Intermediate	701	13/11/08	14/11/08	Glasgow
Photoshop - Introduction	702	17/11/08	18/11/08	Glasgow
InDesign - Introduction	703	13/11/08	14/11/08	On-site
Illustrator - Introduction	704	21/11/08	21/11/08	Glasgow
Photoshop - Advanced	705	24/11/08	25/11/08	Glasgow
InDesign - Advanced	706	1/12/08	1/12/08	Glasgow
Illustrator - Advanced	707	28/11/08	28/11/08	Glasgow
Flash - Advanced Actionscript	709	2/12/08	4/12/08	Glasgow
Flash - Rich Content Creation	710	11/12/08	12/12/08	Glasgow
Dreamweaver - Web Development Introduction	711	8/12/08	10/12/08	Glasgow
Photoshop - Introduction	712	15/12/08	16/12/08	Glasgow
InDesign - Introduction	713	17/12/08	18/12/08	Glasgow
Illustrator - Introduction	714	19/12/08	19/12/08	Glasgow
Motion Introduction	715	3/12/08	5/12/08	Glasgow
Quark Xpress - Introduction	716	23/9/08	25/9/08	Manchester
Fireworks - Web Graphic Creation	718	22/9/08	23/9/08	Manchester
Flash - Advanced Actionscript	719	1/9/08	3/9/08	Manchester
Flex - Developing Rich Client Applications Level 1	720	29/9/08	1/10/08	Manchester
Maya Jumpstart: Zero to Hero	721	1/9/08	5/9/08	Manchester
Cinema 4D – Fundamental	722	17/9/08	19/9/08	Manchester
Revit Architecture - Essentials	723	17/9/08	19/9/08	Manchester
Acrobat - Introduction	724	3/10/08	3/10/08	Manchester
Illustrator - Introduction	725	30/10/08	31/10/08	Manchester
"Ajax - Fast Track to AJAX, Introduction"	726	27/10/08	29/10/08	Manchester
Dreamweaver - Web Development Introduction	727	15/10/08	17/10/08	Manchester
Flex  - Data and Communications	728	2/10/08	3/10/08	Manchester
AutoCAD - Level 2 - Intermediate	729	23/10/08	24/10/08	Manchester
AfterEffects - Introduction	730	27/10/08	28/10/08	Manchester
Premiere Pro - Introduction	731	29/10/08	30/10/08	Manchester
Soundbooth CS3 - Introduction	732	31/10/08	31/10/08	Manchester
Acrobat - Introduction	733	21/11/08	21/11/08	Manchester
InDesign - Advanced	734	5/11/08	6/11/08	Manchester
Quark Xpress - Introduction	735	19/11/08	20/11/08	Manchester
Fireworks - Web Graphic Creation	737	17/11/08	18/11/08	Manchester
Flash - Actionscript	738	12/11/08	14/11/08	Manchester
Flash - Video Development	739	10/11/08	12/11/08	Manchester
Flash - Rich Content Creation	740	10/11/08	11/11/08	Manchester
Flex  - Data and Communications	741	27/11/08	28/11/08	Manchester
Flex - Developing Rich Client Applications Level 1	742	24/11/08	26/11/08	Manchester
3ds Max Jumpstart Zero to Hero	743	24/11/08	28/11/08	Manchester
Cinema 4D – Fundamental	744	12/11/08	14/11/08	Manchester
Acrobat - Introduction	745	19/12/08	19/12/08	Manchester
Illustrator - Advanced	746	10/12/08	11/12/08	Manchester
Illustrator - Introduction	747	8/12/08	9/12/08	Manchester
InDesign - Introduction	748	3/12/08	4/12/08	Manchester
Photoshop - Introduction	749	1/12/08	2/12/08	Manchester
Captivate - Introduction	750	15/12/08	16/12/08	Manchester
Flash - Actionscript	751	10/12/08	12/12/08	Manchester
Flash - Advanced Actionscript	752	22/12/08	24/12/08	Manchester
Flash - Rich Content Creation	753	8/12/08	9/12/08	Manchester
AutoCAD - Level 2 - Intermediate	754	18/12/08	19/12/08	Manchester
AutoCAD – Essentials	755	15/12/08	17/12/08	Manchester
Acrobat - Introduction	756	22/12/08	22/12/08	London
Acrobat - Advanced	757	23/12/08	23/12/08	London
Photoshop - Advanced	758	12/11/08	13/11/08	London
Illustrator - Introduction	759	15/12/08	16/12/08	London
Illustrator - Advanced	760	17/12/08	18/12/08	London
InDesign - Introduction	761	10/12/08	11/12/08	London
InDesign - Introduction	762	23/12/08	24/12/08	London
Photoshop - Introduction	763	8/12/08	9/12/08	London
Quark Xpress - Introduction	764	17/12/08	18/12/08	London
"Ajax - Fast Track to AJAX, Introduction"	765	3/12/08	5/12/08	London
Cascading Style Sheets	766	1/12/08	2/12/08	London
Dreamweaver - Web Development Introduction	767	15/12/08	17/12/08	London
Fireworks - Web Graphic Creation	768	28/11/08	28/11/08	London
Flash - Rich Content Creation	769	1/12/08	2/12/08	London
Flash - Rich Content Creation	770	18/12/08	19/12/08	London
Flash - Actionscript	771	3/12/08	5/12/08	London
Flash - Advanced Actionscript	772	22/12/08	24/12/08	London
Flex - Developing Rich Client Applications Level 1	773	15/12/08	17/12/08	London
Flex  - Data and Communications	774	18/12/08	19/12/08	London
3ds Max Jumpstart Zero to Hero	775	8/12/08	12/12/08	London
Room Hire	776	4/12/08	5/12/08	London
AutoCAD – Essentials	777	15/12/08	17/12/08	London
Revit Architecture - Essentials	779	15/12/08	17/12/08	London
AfterEffects - Introduction	780	2/9/08	3/9/08	London
AfterEffects - Introduction	781	3/11/08	4/11/08	London
Combustion Fundamentals	782	22/9/08	24/9/08	London
Premiere Pro - Introduction	784	5/11/08	6/11/08	London
Final Cut Pro - Introduction	785	15/12/08	17/12/08	London
Motion Introdction	786	10/9/08	12/9/08	London
Motion Introduction	787	10/12/08	12/12/08	London
Soundbooth CS3 - Introduction	788	7/11/08	7/11/08	London
Illustrator - Introduction	789	18/11/08	19/11/08	London
InDesign - Introduction	790	27/10/08	28/10/08	London
InDesign - Advanced	791	29/10/08	30/10/08	London
InDesign - Advanced	792	26/11/08	27/11/08	London
Photoshop - Introduction	793	13/10/08	14/10/08	London
Photoshop - Introduction	794	29/10/08	30/10/08	London
Photoshop - Introduction	795	10/11/08	11/11/08	London
Photoshop - Introduction	796	26/11/08	27/11/08	London
Photoshop - Advanced	797	15/10/08	16/10/08	London
Quark Xpress - Introduction	798	20/11/08	21/11/08	London
Captivate - Introduction	799	15/9/08	16/9/08	London
Captivate - Introduction	800	10/11/08	11/11/08	London
Coldfusion - Fast Track to Coldfusion	801	24/11/08	26/11/08	London
Dreamweaver - Web Development Introduction	802	20/10/08	22/10/08	London
Dreamweaver - Web Development Introduction	803	17/11/08	19/11/08	London
Dreamweaver - Dynamic Application Development	804	1/10/08	3/10/08	London
Dreamweaver - Dynamic Application Development	805	26/11/08	28/11/08	London
Fireworks - Web Graphic Creation	806	13/10/08	14/10/08	London
Flash - Rich Content Creation	807	23/10/08	24/10/08	London
Flash - Rich Content Creation	808	20/11/08	21/11/08	London
Flash - Actionscript	809	5/11/08	7/11/08	London
Flash Lite - Mobile Application Development	810	5/11/08	7/11/08	London
Flex - Developing Rich Client Applications Level 1	811	17/11/08	19/11/08	London
Flex  - Data and Communications	812	20/11/08	21/11/08	London
Flex - Building Dashboard Applications Level 2	813	3/11/08	4/11/08	London
3ds Max V-Ray	816	20/11/08	20/11/08	London
AutoCAD - Level 2 - Intermediate	817	27/11/08	28/11/08	London
AutoCAD – Essentials	818	24/11/08	26/11/08	London
Cinema 4D – Fundamental	819	13/11/08	14/11/08	London
3ds Max - Essentials Masterclass	820	6/10/08	10/10/08	London
Acrobat 3D	821	1/10/08	2/10/08	London
Flex 101 Developing RIAs	824	15/9/08	17/9/08	On-site
Bespoke Course - AutoCAD	825	21/8/08	21/8/08	On-site
QuarkXPress	829	2/9/08	3/9/08	On-site
Dreamweaver - Web Development Introduction	830	18/8/08	20/8/08	Leeds
Flash - Rich Content Creation	831	21/8/08	22/8/08	Leeds
AutoCAD – Essentials	832	18/8/08	20/8/08	Leeds
AutoCAD - Level 2 - Intermediate	833	21/8/08	22/8/08	Leeds
InDesign - Introduction	834	3/9/08	4/9/08	Leeds
InDesign - Advanced	835	1/10/08	2/10/08	Manchester
InDesign - Introduction	836	8/10/08	9/10/08	Manchester
Illustrator - Introduction	837	10/10/08	10/10/08	Manchester
Illustrator - Introduction	838	14/11/08	14/11/08	Leeds
Illustrator - Introduction	839	12/12/08	12/12/08	Leeds
InDesign - Introduction	840	3/11/08	4/11/08	manchester
InDesign - Advanced	841	6/8/08	7/8/08	Manchester
InDesign - Introduction	842	4/8/08	5/8/08	manchester
Photoshop - Advanced	843	28/8/08	29/8/08	Manchester
Photoshop - Introduction	844	26/8/08	27/8/08	Manchester
Photoshop - Introduction	845	6/8/08	7/8/08	Manchester
Flash - Actionscript	846	13/8/08	15/8/08	Manchester
InDesign - Introduction	847	13/8/08	14/8/08	London
Flash - Rich Content Creation	848	11/8/08	12/8/08	Manchester
AfterEffects - Introduction	849	4/8/08	5/8/08	Manchester
Premiere Pro - Introduction	850	6/8/08	7/8/08	Manchester
Soundbooth CS3 - Introduction	851	8/8/08	8/8/08	Manchester
Photoshop - Introduction	852	11/8/08	12/8/08	London
Photoshop - Advanced	853	13/8/08	14/8/08	London
3ds Max - Essentials Masterclass	854	11/8/08	13/8/08	London
Cinema 4D – Intermediate	855	11/8/08	12/8/08	London
Maya Jumpstart: Zero to Hero	856	4/8/08	8/8/08	London
Revit Architecture - Essentials	857	18/8/08	20/8/08	London
Final Cut Pro - Introduction	858	18/8/08	20/8/08	London
Acrobat - Introduction	860	8/8/08	8/8/08	Glasgow
Photoshop - Introduction	861	22/8/08	22/8/08	Glasgow
Illustrator - Advanced	862	1/8/08	1/8/08	Glasgow
Dreamweaver - Web Development Introduction	863	11/8/08	13/8/08	Glasgow
Flash - Rich Content Creation	864	14/8/08	15/8/08	Glasgow
Quark Xpress - Introduction	865	25/9/08	26/9/08	London
Flash - Actionscript	866	26/8/08	28/8/08	Glasgow
Motion Introdction	867	5/8/08	7/8/08	Glasgow
Flex 3 - Programming the Visual Experience	868	1/9/08	3/9/08	London
Illustrator - Advanced	869	26/9/08	26/9/08	Glasgow
3ds Max - Essentials Masterclass	870	8/9/08	10/9/08	London
Dreamweaver - Web Development Introduction	871	8/9/08	10/9/08	Glasgow
Photoshop - Introduction	872	20/10/08	21/10/08	Glasgow
Cascading Style SheetsCascading Style Sheets	873	26/8/08	27/8/08	London
Acrobat - Advanced	874	12/8/08	12/8/08	Cardiff
InDesign - Introduction	875	18/8/08	19/8/08	Cardiff
Coldfusion - Fast Track to Coldfusion	876	13/8/08	15/8/08	London
Illustrator - Introduction	877	22/8/08	22/8/08	Cardiff
Photoshop - Advanced	878	11/8/08	12/8/08	London
Flash - Rich Content Creation	879	4/8/08	5/8/08	London
Flash - Actionscript	880	6/8/08	8/8/08	London
Acrobat - Introduction	881	27/10/08	27/10/08	London
AutoCAD - Level 2 - Intermediate	884	16/10/08	17/10/08	London
Final Cut Pro - Introduction	885	20/10/08	22/10/08	London
Acrobat - Introduction	886	24/11/08	24/11/08	London
Acrobat - Advanced	887	25/11/08	25/11/08	London
Flash - Rich Content Creation	888	3/11/08	4/11/08	London
Cinema 4D – Fundamental	891	26/8/08	26/8/08	London
AutoCAD – 3d Modelling	892	27/10/08	28/10/08	London
AutoCAD – 3d Modelling	893	18/12/08	19/12/08	London
AutoCAD – 3d Modelling	894	26/8/08	27/8/08	London
M2544 Advanced Web Application	895	4/9/08	5/9/08	On-site
Flash - Actionscript	896	10/9/08	12/9/08	London
PHP/MySQL	897	28/8/08	29/8/08	London
CSS Bespoke	898	22/9/08	23/9/08	On-site
Acrobat - Advanced	899	29/8/08	29/8/08	London
Room Hire	901	1/9/08	2/9/08	London
Indesign ACE	902	17/10/08	17/10/08	London
Flash custom	903	8/9/08	11/9/08	On-site
Flash Custom	904	29/9/08	30/9/08	On-site
xx	905	22/8/08	22/8/08	On-site
Final Cut Pro - Introduction	906	3/11/08	5/11/08	London
InDesign - Introduction	907	25/9/08	26/9/08	On-site
xx	908	26/8/08	26/8/08	On-site
xx	909	26/8/08	26/8/08	On-site
Room Hire	910	22/9/08	25/9/08	Glasgow
Photoshop - Introduction	912	15/9/08	16/9/08	London
Flash - Actionscript	914	20/10/08	22/10/08	London
Room Hire	915	1/9/08	3/9/08	London
Captivate - Introduction	916	1/9/08	1/8/08	Manchester
Captivate - Introduction	917	1/9/08	2/9/08	On-site
Maya Jumpstart: Zero to Hero	918	17/11/08	21/11/08	Manchester
Premiere Bespoke	920	4/9/08	4/9/08	London
Custom Flex	923	1/9/08	3/9/08	On-site
Captivate - Introduction	925	1/9/08	2/9/08	On-site
Custom Flex	926	15/9/08	16/9/08	On-site
Photoshop ACE	930	3/10/08	3/10/08	London
Flash - Bespoke	931	13/10/08	14/10/08	London
3ds Max for Games	932	1/12/08	5/12/08	London
Jon Bessant - Acrobat	933	8/10/08	8/10/08	London
Ajax Custom	934	8/9/08	8/9/08	London
Maya Jumpstart: Zero to Hero	935	1/12/08	5/12/08	London
Trainer Hire	938	12/9/08	12/9/08	On-site
HTML Introduction/Advanced	939	15/9/08	16/9/08	On-site
Custom Flash 	940	27/10/08	27/10/08	London
InDesign - Advanced	942	23/10/08	24/10/08	London
InDesign - Introduction	943	29/9/08	30/9/08	London
Web Forms and Video custom	945	8/10/08	9/10/08	London
Flex Consultancy	946	8/9/08	8/9/08	On-site
Acrobat 3d	948	16/10/08	17/10/08	London
Illustrator - Introduction	949	28/11/08	28/11/08	London
Room Hire	950	11/9/08	11/9/08	London
Room Hire	951	12/9/08	12/9/08	London
XML - Introduction	952	6/10/08	7/10/08	On-site
XML - Introduction	953	3/11/08	4/11/08	On-site
XML - Introduction	954	10/11/08	11/11/08	On-site
Trainer Hire	955	18/9/08	19/9/08	On-site
Illustrator - Introduction	956	17/10/08	17/10/08	London
Illustrator - Introduction	957	14/11/08	14/11/08	London
Illustrator - Introduction	958	12/12/08	12/12/08	London
3ds Max - Essentials Masterclass	961	28/1/08	1/2/08	London
3ds Max - Essentials Masterclass	962	14/1/08	18/1/08	Manchester
3ds Max Advanced	963	21/1/08	23/1/08	London
3ds customised	964	29/1/08	30/1/08	On-site
Acrobat 3D	965	11/1/08	11/1/08	Manchester
Acrobat 7 – 3D	966	29/1/08	29/1/08	London
Acrobat - Introduction	967	21/1/08	21/1/08	Glasgow
Acrobat 8 - Masterclass	968	28/1/08	29/1/08	London
Flash - Actionscript	969	9/1/08	11/1/08	London
Illustrator CS3 - New Features	970	11/1/08	11/1/08	Glasgow
Flash - Actionscript	971	16/1/08	18/1/08	Glasgow
Customised Acrobat Training	972	14/1/08	16/1/08	On-site
Photoshop - Introduction	973	14/1/08	15/1/08	London
Photoshop - Introduction	974	14/1/08	15/1/08	Leeds
Jon Bessant	975	14/1/08	14/1/08	London
Flex 2 - MasterClass	976	15/1/08	15/1/08	Manchester
InDesign - Introduction	977	16/1/08	17/1/08	On-site
InDesign - Introduction	978	16/1/08	17/1/08	London
Photoshop - Advanced	979	16/1/08	17/1/08	London
PHP and my SQL - Introduction	980	16/1/08	17/1/08	London
Dreamweaver - Web Development Introduction	981	17/1/08	18/1/08	Leeds
Captivate - Introduction	982	17/1/08	18/1/08	On-site
Flex 2 - MasterClass	983	17/1/08	17/1/08	Manchester
Excel Training	984	18/1/08	18/1/08	London
Illustrator - Introduction	985	18/1/08	18/1/08	London
Flash - Rich Content Creation	986	21/1/08	22/1/08	Leeds
Dreamweaver - Web Development Introduction	987	21/1/08	23/1/08	London
Flex - Developing Rich Client Applications Level 1	988	21/1/08	23/1/08	London
Illustrator - Introduction	989	21/1/08	21/1/08	London
Customised Acrobat Training	990	21/1/08	23/1/08	London
AutoCAD – Essentials	991	21/1/08	23/1/08	London
"M5047, Introduction to Installing & Managing Microsoft Exchange"	992	21/1/08	25/1/08	On-site
Flash - Video Development	993	21/1/08	21/1/08	London
Final Cut Pro - Introduction	994	21/1/08	22/1/08	Glasgow
AutoCAD – Essentials	995	21/1/08	21/1/08	Glasgow
Photoshop - Introduction	996	21/1/08	22/1/08	Manchester
Illustrator - Introduction	997	22/1/08	22/1/08	London
"Ajax - Fast Track to AJAX, Introduction"	998	22/1/08	24/1/08	On-site
Quark Xpress - Level 1 Introduction	999	23/1/08	24/1/08	London
Flex  - Data and Communications	1000	24/1/08	25/1/08	London
Flash - Rich Content Creation	1001	24/1/08	25/1/08	London
Intro to flash	1002	24/1/08	25/1/08	On-site
Jon Bessant	1003	25/1/08	25/1/08	London
Dreamweaver - Web Development Introduction	1004	28/1/08	30/1/08	Manchester
Custom Creative Suite Video	1005	28/1/08	1/2/08	Glasgow
Custom Captivate	1006	28/1/08	28/1/08	On-site
InDesign - Introduction	1007	29/1/08	30/1/08	London
Bespoke Flex Training	1008	30/1/08	1/2/08	On-site
Jon Bessant	1009	31/1/08	1/2/08	London
Flash - Rich Content Creation	1010	31/1/08	1/2/08	Manchester
Photoshop - Introduction	1011	31/1/08	1/2/08	London
Custom Creative Suite Video	1012	1/2/08	1/2/08	London
Flash - Rich Content Creation	1013	4/2/08	5/2/08	London
Customised Acrobat Training	1014	4/2/08	6/2/08	On-site
Photoshop - Introduction	1015	4/2/08	5/2/08	Manchester
Maya Jumpstart: Zero to Hero	1016	4/2/08	8/2/08	London
Flash - Actionscript	1017	6/2/08	8/2/08	London
InDesign - Introduction	1018	6/2/08	7/2/08	Manchester
Custom Flash	1019	7/2/08	8/2/08	On-site
Flash - Rich Content Creation	1020	7/2/08	8/2/08	Leeds
Illustrator - Introduction	1021	8/2/08	8/2/08	Manchester
InDesign - Introduction	1022	11/2/08	12/2/08	Leeds
Custom Creative Suite Video	1023	11/2/08	15/2/08	London
Adobe Flash Training	1024	11/2/08	12/2/08	On-site
InDesign - Introduction	1025	11/2/08	12/2/08	London
Custom Flash	1026	11/2/08	12/2/08	On-site
InDesign - Introduction	1027	11/2/08	12/2/08	London
AutoCAD – Essentials	1028	11/2/08	11/2/08	London
